ID,Name,Description
int,string,string
1101,초보자의 직검,견습 기사들을 위해 지급되던 무딘 날의 제식 직검.
1102,연습용 목검,검술 훈련을 위해 널리 쓰이는 나무 목검. 타격이 목적이라면 쓰지 못할 것도 아니다.
1201,대장간 망지,대장장이가 철을 벼릴 때 사용하는 망치. 무게중심은 엉망이지만 제 위력이 나오기는 한다.
1301,무딘 검,날이 많이 상한 직검. 숱한 실전들을 버텨왔음이 느껴진다.
1401,장식된 검,화려한 장식이 달린 잘 관리된 직검. 전설 속 무구는 아닐지라도 여전히 위력적이다.
2101,푸른 돌 완드,견습 마법사들을 위해 지급되던 제식 완드.
2301,에메랄드 지팡이,둥근 에메랄드로 마무리된 철제 지팡이. 방어를 위해 사용할 가능성이 엿보일 정도로 묵직하다.
2401,토파즈 지팡이,각진 토파즈를 더 반듯하게 가공하여 마무리한 나무 지팡이. 헛점을 날카롭게 파고들 수 있다.
2501,루비 완드,"마력이 담긴 루비로 마무리한 강력한 완드. 예로부터 루비는 대지의 피, 생명력이 응집된 보석이라 일컬어진다. 그 중에서도 마력을 담아 가공한 명품."
3101,붉은 혈석의 탈리스만,강한 생명력을 가진 생명체가 죽으며 남기는 미지의 수정을 가공하여 만든 탈리스만. 수정 너머에서 희미한 박동이 느껴진다. 
3301,공속 룬,"""빠른 팔""을 의미하는 룬이 새겨진 돌. 룬 문자의 이해는 번역하는게 아니다. 받아들이는 것이다."
3302,전사의 두개골,"이름 모를 전사의 유해, 그 중 두개골. 마저 싸우지 못한 한이 느껴진다."
3401,매의 깃털,"흰 매, 백응의 깃털. 믿기 힘들 정도로 가볍다. "
4301,담대함의 원석,용감한 자의 투지가 깃든 돌. 한낱 돌멩이에 지나지 않지만 누군가 부적이라 여겼기에 그 기운을 물려받았다.
4302,사파이어,바다와 하늘의 푸른색이 담긴 보석. 안을 들여다보면 정신이 맑아지는 듯하다.
5301,수정 파편,"투명한 수정이 불규칙하게 파편화된 조각. 본디 한 덩어리에서 깨진 것인지, 이렇게 만들어진 것인지는 확답할 수 없다."
5401,초월자의 혼,"초자연적인 힘이 잠재된 혼. 그 자체로는 존재가 희미하지만, 힘이 느껴짐에는 틀림없다."
5402,루비,"예로부터 루비는 대지의 피, 생명력이 응집된 보석이라 일컬어진다."
5403,진주,"한 생명의 생애와 함께 성장한다는 보석. 잠재력이 가득하지만, 그만큼 연약하기도 하다."
5404,토파즈,단단한 황옥. 자연적으로 날카로운 각이 만들어지는 광물. 
5501,다이아몬드,"가장 단단한 광물인 금강석. 단순히 강도가 높을 뿐 아니라, 질긴 생명력과 같은 인내력 품고 있다."
1103,혹투성이 팔,"중증 낙타병 환자의 딱딱하게 굳은 팔. 일말의 살점도 느껴지지 않으며, 그저 딱딱한 나무, 그보다도 돌 같다."
1202,고름투성이 팔,고름이 비져나올 정도의 중증 낙타병 환자의 굳은 팔. 낙타병의 고름은 사교도들에게 성수이자 오물이라고 여겨진다.
2102,혹투성이 지팡이,낙타병 환자의 조직으로 이루어진 지팡이. 일말의 신앙심과 처절한 부정함이 느껴진다.
2201,고름투성이 지팡이,고름이 비져나올 정도의 중증 낙타병 환자의 조직으로 이루어진 지팡이. 낙타병의 고름은 사교도들에게 성수이자 오물이라고 여겨진다.
2402,짓물러진 살점,짓물러진 자가 남긴 거대한 살덩이. 기도하고 또 기도했다. 기도문이 떠오르지 않는 날부터는 그저 신을 부르짖었다. 그렇게 그의 정신은 짓뭉게졌다.
3303,혹,돌멩이처럼 굳은 낙타병 환자의 혹. 그 중 마치 원래부터 돌이었던 듯한 물건.
3304,부푼 혹,고름이 가득 차 그대로 굳은 낙타병 환자의 혹. 낙타병의 고름은 사교도들에게 성수이자 오물이라고 여겨진다.